item_#,strUC,common_name,scientific_name,doi,url,editors,reviewer,start_date,end_date,publication_date
59f5eba3e4b063d5d307e03b,aABSAx,Austin Blind Salamander,Eurycea waterlooensis,doi:10.5066/F7S46R49,https://www.sciencebase.gov/catalog/item/59f5eba3e4b063d5d307e03b,['Ken Boykin'],Steve Williams,2008,2016,2017
59f5ebe4e4b063d5d307e245,aACSSx,Atlantic Coast Slimy Salamander,Plethodon chlorobryonis,doi:10.5066/F7D799J2,https://www.sciencebase.gov/catalog/item/59f5ebe4e4b063d5d307e245,['Adam Radel'],Jeff Lonneker,2008,2013,2017
59f5ebe5e4b063d5d307e24f,aADSAx,Apalachicola Dusky Salamander,Desmognathus apalachicolae,doi:10.5066/F76D5S3C,https://www.sciencebase.gov/catalog/item/59f5ebe5e4b063d5d307e24f,['Adam Radel'],Jeff Lonneker,2008,2013,2017
59f5e1b4e4b063d5d307da79,aAGTOx,Amargosa Toad,Anaxyrus nelsoni,doi:10.5066/F7B56HTP,https://www.sciencebase.gov/catalog/item/59f5e1b4e4b063d5d307da79,['Ken Boykin'],Jeff Lonneker,2008,2013,2017
59f5ebb8e4b063d5d307e0f1,aAMBUx,American Bullfrog,Lithobates catesbeianus,doi:10.5066/F7G73CQG,https://www.sciencebase.gov/catalog/item/59f5ebb8e4b063d5d307e0f1,['Ken Boykin'],Jeff Lonneker,2008,2015,2017
59f5e239e4b063d5d307dd59,aAMDSx,Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,doi:10.5066/F7DB80ZC,https://www.sciencebase.gov/catalog/item/59f5e239e4b063d5d307dd59,['Matthew Rubino'],Steve Williams,2008,2016,2017
59f5ebb1e4b063d5d307e0b7,aAMTOx,American Toad,Anaxyrus americanus,doi:10.5066/F74J0D8X,https://www.sciencebase.gov/catalog/item/59f5ebb1e4b063d5d307e0b7,['Ken Boykin'],Jeff Lonneker,2008,2015,2017
59f5e1f1e4b063d5d307dbb7,aARSAx,Arboreal Salamander,Aneides lugubris,doi:10.5066/F7NC60CH,https://www.sciencebase.gov/catalog/item/59f5e1f1e4b063d5d307dbb7,['Ken Boykin'],Jeff Lonneker,2008,2016,2017
59f5e1b8e4b063d5d307da8f,aARTOx,Arroyo Toad,Anaxyrus californicus,doi:10.5066/F70R9NJN,https://www.sciencebase.gov/catalog/item/59f5e1b8e4b063d5d307da8f,['Ken Boykin'],Jeff Lonneker,2008,2013,2017
59f5e25fe4b063d5d307de43,aAZTOx,Arizona Toad,Anaxyrus microscaphus,doi:10.5066/F7HD7TQD,https://www.sciencebase.gov/catalog/item/59f5e25fe4b063d5d307de43,"['Ken Boykin', 'Thomas Laxson']",Jeff Lonneker,2008,2013,2017
